Local Authority,Project Location,Project Details,Approved Funding (€),Approval Year
Carlow County Council,Tullow,"Construction\installation of walls, berms, flood gates along River Slaney / Upgrade drainage system along Thom Traynor Road / Installation of pumps and sumps",80311,2013
Carlow County Council,Leighlinbridge,"Flood alleviation works along banks of River Barrow at Carlow Road (Lord Bagenal Hotel) & Barrow Track (Garrison House), together with ancillary drainage works",260010,2010
Carlow County Council,Leighlinbridge,"Flood alleviation works along banks of River Barrow at Carlow Road (Lord Bagenal Hotel) & Barrow Track (Garrison House), together with ancillary drainage works",33295,2013
Cavan County Council,Mullinavanogue Redhills,To re-construct existing culvert 65m long 600mm diameter,11700,2020
Cavan County Council,Drumcliff Ballyhaise,To re-construct existing culvert 65m long 600mm diameter,17100,2020
Cavan County Council,Aghaadreenagh Redhills,Replace damaged culvert 5.5long,6750,2020
Cavan County Council,Drummullan,"A scheme comprising a combination of earthen embankment, culvert and flood wall defences.",205002,2018
Cavan County Council,Butlersbridge,Upgrade culvert / Install flap valve at mouth of pipe entering river. Clean drains in the vicinity & repair roadway.,38700,2012
Cavan County Council,Ballyhaise Cavan Road,"To create 150m land drainage to rear, install 70m 225 diameter drain to rear to discharge into existing system & renew 100m of 300 diameter culvert downstream of properties",10350,2020
Cavan County Council,Rantavan Mullagh,Works at the eye of the bridge,72000,2012
Cavan County Council,Crosskeys Bridge,Replace Bridge,72000,2010
Cavan County Council,Knockateery Cloverhills,"To install new 300 diameter culvert, construct 100m roadside banking edge support, re-construct, raise & resurface 100m of local primary road",14850,2020
Cavan County Council,L6027 Ballyhaise Pitch,To construct an overflow either full length of field or option 2 to construct an overflow culvert under link between pitches discharging into a newly constructed open overflow field drain,14850,2020
Clare County Council,Shannon Banks Parteen,"Construction of an overflow, attenuation and submersible pump operation",135000,2012
Clare County Council,Aughinish Island New Quay,"Repair breaches in embankment, strengthen & reinforce embankment with rock armour. Repair walls.",81000,2019
Clare County Council,Spanish Point,Provide rock armour over 75m,225000,2020
Clare County Council,Cloonbony,Upgrade Culvert,36000,2010
Clare County Council,Gort Road Industrial Park Ennis,Install overflow flood culvert,300000,2010
Clare County Council,Lahinch & Miltown Malbay,Works,45000,2009
Clare County Council,Ballyrine Doolin,Provision of sump & pump,45000,2012
Clare County Council,Milltown Malbay,Replacement of culvert,45000,2012
Clare County Council,"Ballycorick, Ballynacally",Rebuild damaged sections of embankment (130 metres in total),46800,2010
Clare County Council,Ranaghan Ruan,Flood mitigation works,36000,2010
Clare County Council,Moynoe Scarriff,Installation of 225mm to 450mm pipe to upgrade the existing road crossing. Associated works.,25533,2019
Clare County Council,Ballyreen,Lay a surface water pipe to outfall,54000,2015
Clare County Council,Cloughauninchy,Coastal erosion & flood risk management study,84000,2015
Clare County Council,Mountcashel Kilmurry,To remove and replace existing stone culvert with 900mm concrete culvert & associated works.,18000,2021
Clare County Council,Gort na Null Sixmilebridge,Raise the level of the current embankment by the construction of an engineered embankment 142m long & to upgrade sluice,63129,2019
Clare County Council,Elm Park / Watery Road,Construct higher embankment / Upgrade storm drain,228871,2012
Clare County Council,"Victoria Court & Gordon Drive, Ennis",Hydrological Study,22000,2022
Clare County Council,Miltown Malbay,To construct a 206m long DN1200 culvert to alleviate flooding Associated Works,490500,2020
Clare County Council,Rineville Carrigaholt,To infill the existing revetment as detailed in the application,90000,2018
Clare County Council,Shannon Airport River Defences,To strengthen some 155m of the critical area of embankment using a rock armour revetment in front of the existing embankment,150000,2011
Clare County Council,Mountcatherine,"Removal of trees Reconstruction of embankment- set back from channel edge, graded at approximately 1:3 on both sides and flat on top (width of 1.5 to 2m) Associated works",49500,2016
Clare County Council,Kilkee Sea Wall,Underpin the existing sea walls with reinforced concrete foundation.,81000,2022
Clare County Council,"Gullets Cross, Carrowmore, Cratloe","Divert the flow from the spring into a nearby stream, approx 500m away. Installation of road gulllies to remove any surface water buildup",76500,2023
Clare County Council,Doolin,Coastal erosion & flood risk management study,55000,2015
Clare County Council,Cloughauninchy,Appointment of consultants for detailed design and planning,36000,2017
Clare County Council,Tromara Quilty,Design and build Gabion wall/mattress protection to beach dunes 100m long,72000,2011
Clare County Council,Feakle,"Installation of 50m of 450mm pipework, installation of 120m of 225mm roadside drainage & 7 no gullies. Associated works.",31500,2019
Clare County Council,Ballycorick Ballynacally,"Replace existing sluice & headwall, repair embankment",52200,2019
Clare County Council,Kilkee Sea Wall,Underpinning for additional area of poor foundations on the Seawall,8123,2022
Clare County Council,"Whitestrand, Miltown Malbay",Detailed design and planning,36000,2020
Clare County Council,Thomond Villas Clarecastle,Study-detailed design for embankment & road raising,30000,2020
Clare County Council,Ruan,Flood mitigation works,90000,2010
Clare County Council,R352 Spancilhill Ennis,Construction of 520m of 900mm flood relief culvert with associated inlet and outlet chambers,52000,2012
Clare County Council,"Quilty to Miltown Malbay (Quilty, Spanish Point & Whitestrand)",Coastal erosion & flood risk management study,65000,2015
Clare County Council,"Kilbaha, Aughinish & New Quay",Coastal erosion & flood risk management study,102000,2015
Clare County Council,Roughan,Provide new 750mm pipe Increase embankments around dwelling houses,99000,2011
Clare County Council,Elm Park / Watery Road,Construct higher embankment / Upgrade storm drain,135000,2010
Clare County Council,"Liscannor Bay (Clahane, Liscannor & Miltown Malbay)",Coastal erosion & flood risk management study,108000,2015
Clare County Council,Ballymacrogan,Provide road gullies channel & surface network,31500,2015
Clare County Council,"Ballycally, Shannon",Clare County Council propose to repair the breach with rock armour and gabion baskets on a layer of terram. They then propose to strengthen the embankment behind the repair with suitable imported material for a distance of 100m. The solution was designed for similar breaches on the Shannon Estuary Embankments.,49050,2022
Clare County Council,Ballyvaughan,New pipe from turlough to the sea,270000,2011
Clare County Council,Querrin Beach,Reconstruction of culvert and sluice,39750,2023
Cork County Council,Bantry Interim Works,"Additional funding for works- mobile pumps, sump chambers, sealing gullies, non-return valves, large sandbags & associated works",82339,2022
Cork County Council,Pilmore Sluice Youghal,Repair / replacement of sluice gate & associated works,34392,2021
Cork County Council,Inchigeelagh,Selectively clear bankside trees & scrub Selectively clear islands where impeding flows to mean low water level,45000,2012
Cork County Council,Inchigeelagh,Selectively clear bank side trees & shrubs Clear river bed material,22500,2016
Cork County Council,Midleton Northern Relief Road,Study,19000,2013
Cork County Council,N71 Cork Road Skibbereen,The replacement of a culvert & upgrade piping systems.,41211,2022
Cork County Council,Youghal Front Beach,Phase 1A – Refurbish Sea Wall,18000,2010
Cork County Council,Skibbereen,Flood Risk Assessment & Management Study – Ilen Catchment River Ilen Catchment Flood Risk Assessment & Management Study: Feasbility Study & Preparation of Draft Flood Risk Plan Flood Plain & Channel Survey,119000,2011
Cork County Council,Lower Adamstown Ballinhassig,Replace culvert under R613 with a Section 50 compliant culvert.,40000,2021
Cork County Council,Rossa Rd Skibbereen,Upgrade of the Rossa Road culvert trash screen & inlet chamber,37350,2020
Cork County Council,Gortroe Youghal,Install new drain & deepen and clean existing one Deepening of existing stream channel for 900m,13500,2009
Cork County Council,River Ilen Skibbereen,River cleaning,10000,2011
Cork County Council,Kilumney Village,Study,27000,2018
Cork County Council,Crookstown,Permanent flood walls & embankments,318600,2010
Cork County Council,Carrigtohill,Carrigtohill Flood Risk Assessment Study,72000,2011
Cork County Council,St. Colum’s Community Hall Ballylickey,"Construct flood defence wall around the community hall, including slot in flood barriers at access points",18000,2017
Cork County Council,Glashaboy River,River cleaning works only to improve hydraulic capacity,36000,2012
Cork County Council,Clonakility,Channel capacity improvements,350000,2010
Cork County Council,Bandon River Bandon Town,Tree Cutting,27000,2011
Cork County Council,"Kilmore, Ballinspittle, Kinsale",Replacement of culvert with Section 50 compliant culvert. Review impact of 600mm culvert through the GAA pitches.,150000,2023
Cork County Council,"Ballymakeera, Ballyvourney",,151847,2024
Cork County Council,Kilmacahill Cloyne,Replacement of culverts and works to watercourses,8100,2012
Cork County Council,"Pilmore Cottages, Youghal",Coastal Erosion Risk Management Study prior to funding application for structural measures to prevent or mitigate erosion,135000,2023
Cork County Council,"Baurnahulla_Drimoleague, P47 K772","To mitigate flood risk by severing the hydraulic connection between the septic tank and the river if it exists. A CCTV survey to ascertain the tanks integrity. If required, the tank and pipework will be replaced. A non-return value and a permanent sump will be constructed. Ramped entrance to the driveway, banked back to earthen embankments",22615,2022
Cork County Council,Ballingeary,"Tree & shrub removal from Inchinossig Bridge to the Bunsheelin River, on Bunsheelin River from GAA pitch to confluence with the River Lee & in an area known as “The Ford”",22500,2016
Cork County Council,Ballinacurra,Installation of debris screen,5880,2010
Cork County Council,Riverstick,Replacement of Ballady Culvert,81000,2012
Cork County Council,Ballintubber,To complete the laying 940mm of 450mm diameter pipe from the northern boundary of the nursery (Irish Plant Propagation Ltd) to the outfall to existing stream approximately 940m south.,126499,2022
Cork County Council,Ballinacurra,Works-River Flood Protection from Coolea Road to downstream of Kilnamartyra Road Bridge Installation of debris screen,18000,2009
Cork County Council,"Bayview B&B, Glandore",Stabilize the cliff face with ground anchors and to protect against erosion with a sprayed concrete covering.,225353,2022
Cork County Council,Bantry Interim Works,"Works- mobile pumps, sump chambers, sealing gullies, non-return valves, large sandbags & associated works",101578,2021
Cork County Council,Gortroe Youghal,Install new drain & deepen and clean existing one Deepening of existing stream channel for 900m,45000,2010
Cork County Council,Ballymakeera,Sand bag flood defence structure,187248,2018
Cork County Council,"Durrus Pre-School ,The Pavillion (IPP)",,15366,2023
Cork County Council,Ballinveltig Curragheen Bridge,Replace the existing double culvert with one large culvert of equal width & height Construct an overflow culvert downstream & a land drain,180000,2017
Cork County Council,Crookstown,"Storm water pumping station, new drainage pipes & associated works",295027,2021
Cork County Council,N71 Cork Road Skibbereen,Replace the existing culvert & upgrade of existing piped system,237009,2018
Cork County Council,Coachford Village,"Culverts are old, under capacity and sections are in bad repair. Study required to investigate the flooding mechanisms, improve capacity and what remedial works are needed to the existing culverts",36000,2023
Cork County Council,Ballybrack Stream Douglas,Installation of trash screen and reinforced concrete substructure and ancillary works /Replacement of under sized culvert under Church Street,304200,2010
Cork County Council,Ballymakeery / Ballyvourney,Removal of overhanging growth & other obstacles to river for 3.4 miles from Ballyvourney Bridge downstream,10000,2012
Cork County Council,River Ilen Skibbereen,Replace the 36m of culvert in private lands,72000,2015
Cork County Council,Garranachole Castletownroche,Installation of gully trap and perforated drainage pipes & associated works,22500,2021
Cork County Council,Skibbereen,Flood Risk Assessment & Management Study – Ilen Catchment,120000,2010
Cork County Council,Liscarroll,Extensive river cleaning & cutting back of all overgrowth along the river banks,28350,2020
Cork County Council,Roches Point Sea Wall,Detailed Design & Construction of a Toe Wall to stabilize existing sea wall,9654,2023
Cork County Council,"Ballymakeera, Ballyvourney","Flood defence structure, with suitable impermeable barrier. Remedial works to 90m of an existing stone wall which will then form part of the flood defences thus removing the need for sandbags at this location.",171858,2023
Cork County Council,Riverstick & Environs,Channel Capacity Improvements & Localised Permanent Flood Defences: Clear trees/scrub/gravel along river for 5 miles/ Clean and deepen river/ Construct embankments to protect water treatment plant,90000,2010
Cork County Council,Ballintubber,Lay 940mm of 450mm diameter pipe from the northern boundary of the nursery (Irish Plant Propagation Ltd) to the outfall to existing stream approximately 940m south,225361,2022
Cork County Council,The Glen Glenbrook Passage West,Study & remedial works,99000,2010
Cork County Council,Ballingeary & Inchigeelagh,River cleaning & maintenance works,40000,2011
Cork County Council,Roches Point Sea Wall,Detailed Design & Construction of a Toe Wall to stabilize existing sea wall,68445,2022
Cork County Council,Ballintubber,Lay 940mm of 450mm diameter pipe from the northern boundary of the nursery (Irish Plant Propagation Ltd) to the outfall to existing stream approximately 940m south,346500,2018
Donegal County Council,Inver,Construct a row of rock armour along the line of the existing gabions in order to protect them from further damage,18000,2020
Donegal County Council,"An Seascann Beag, L-1263",Replacement of O' Fearraigh Bridge & Fred Coll's Bridge,78435,2010
Donegal County Council,Magherawarden Burn Portsalon,To direct stream away from the dunes,20000,2013
Donegal County Council,Currindale Termon,To construct rock armour 150m long by 1m high between river and road & associated works.,31500,2019
Donegal County Council,Bridgend,Install additional drainage pipes & ancillary works,34200,2013
Donegal County Council,Portnoo to Dooey Point,Coastal Flooding and Erosion Risk Management Study,76500,2017
Donegal County Council,Burnfoot River,Construct earthen embankment / Investigate underground drainage & upgrade where required,67500,2010
Donegal County Council,Magheraroarty (Ballyness Bay Coastal Flooding and Erosion Risk Management Study),Coastal Flooding and Erosion Risk Management Study,76500,2018
Donegal County Council,Ranamona Island Causeway,To re-set & rebuild existing boulders and import replacement boulders,10800,2019
Donegal County Council,Inver,Installation of rock armour to protect the existing falling sea wall,36000,2016
Donegal County Council,Eastend Bundoran,Placement of larger capacity pipes at several locations,27000,2010
Donegal County Council,Maghery (Maghery Bay Coastal Flooding and Erosion Risk Management Study),Coastal Flooding and Erosion Risk Management Study,76500,2018
Donegal County Council,Bundoran Rogay beach,Rock fall protection,90000,2010
Donegal County Council,Oatfield Terrace Letterkenny,Removal of structurally damaged pipes & installation of box culvert 3m x 2.1m,224460,2018
Donegal County Council,Foxwood,Clear vegetation for approximately 850m Minor widening of river & sweetening of corners for approximately 850m Increase height of embankment behind houses,18000,2014
Donegal County Council,Glack Inch Island,Construct a new 900mm or 1050mm pipe culvert & construct an inlet headwall & a self cleaning grid,24300,2014
Donegal County Council,Stranorlar-Ballybofey,Vegetation and tree removal on embankment & construction of sumps / pumping areas,157500,2018
Donegal County Council,"Ard na gCeapairi, R257","Replacement of existing 600mm pipe and stone culvert with box culvert and two manholes, together with road crossing and accommodation works on two dwellings",29700,2010
Donegal County Council,Donegal Town,"Upgrade works to walls along the river bank, install 3 large diameter non-return valves, purchase flood barrier (100m), construct an earthen bund 70m, replace the existing culvert with a new culvert 3.0m wide by 1.8m high, removal of overhanging trees from the banks of the river & associated works",369000,2019
Donegal County Council,"Murvagh Upper Glebe, Drumchory Glebe Mullanacross and Ballybulgan","To undertake a review of the existing flood data to identify measures that could be implemented, to mitigate against future flooding of this area",13500,2018
Donegal County Council,Derrybeg,Bunding behind private dwelling,58500,2010
Donegal County Council,Cladyknit,Study,3600,2010
Donegal County Council,Chapel Street Carndonagh,"Removal of existing undersized culvert & replace with upsized box culvert, channel improvements & maintenance to the stream",16290,2014
Donegal County Council,Liscooley,Study to assess capacity issues within watercourse & interaction with infrastructure,2866,2020
Donegal County Council,Circular Road Letterkenny,Installation of 98m of 750 diameter pipes,51773,2018
Donegal County Council,Ballindrait,"Construct new twin 900mm sluice Regrade, clean and/or widen existing channel Construct 900mm diameter bypass culvert",45900,2014
Donegal County Council,Rasheeny Culvert Ballyliffen,Replace 3 pipes with a box culvert,13500,2013
Donegal County Council,Downings,Replacement of existing box culvert with larger box culvert. Reinstatement of parapet walls. Improvements to river channel,63000,2011
Donegal County Council,Stranorlar-Ballybofey,"Construction of pump, 2 storm water manholes & associated works",101865,2021
Donegal County Council,Liscooley,Study to assess capacity issues within watercourse & interaction with infrastructure,7650,2019
Donegal County Council,Inishfree Bay,Coastal Flooding and Erosion Risk Management Study,76500,2016
Donegal County Council,Lifford- N15,Provision of 3 cattle grids or gulley systems & new 900mm diameter pipe for approx 45m Cleaning existing open drains & stream and create new open drains as required Road crossing of national primary road(length 13m),54000,2014
Donegal County Council,Glen Road Carvery Burnfoot,Construct bund along existing river and tributary. Construct 450mm diameter overflow pipe Construct ramp across house access River cleaning and associated works,16200,2012
Donegal County Council,Ecclesiastical Graveyard Inver Glebe,Installation of 60m rock armour along the Eany Water River bank to protect the old graveyard and ecclesiastical remains,13500,2016
Donegal County Council,Main St. Rathmullen,"To put a new road crossing 50m to the south at a higher level, and associated works",31500,2011
Donegal County Council,Pairc an Grainan Burnfoot,To construct 25m shuttered wall at sewerage treatment plant To reshape corner of embankment to provide better flow,4050,2013
Donegal County Council,Downings Beach,Rock armour protection to base of damaged embankment- restore embankment with granular material,45000,2013
Donegal County Council,Murvagh Upper Glebe Drumchory Glebe Mullanacross and Ballybulgan,"To undertake a review of the existing flood data to identify measures that could be implemented, to mitigate against future flooding of this area",764,2019
Donegal County Council,Elmwood Downes Letterkenny,Provide storm drain & connection manholes. Connect drain to existing storm system Provide land drainage at embankment,16000,2012
Donegal County Council,Milford (Drumbern),"To divert 600m of drainage to opposite side of road, increase size of outlet pipe & construct manhole",5000,2013
Donegal County Council,"Meenaniller, L-1363-2",Upgrading of 600mm pipe with 900mm pipe; Installation of 1200mm pipe; Culvert replacement.,73044,2010
Donegal County Council,Lower Mount Merrion Milford,Clean open drain,1800,2016
Donegal County Council,Inch Island Causeway,Strengthen existing wall & build new wall,54000,2010
Donegal County Council,Fahan Marina,Repair collapsed sea wall,18000,2010
Donegal County Council,Meenaniller,Study,7200,2010
Donegal County Council,"Sloddan Port to Binbane Head (to include Pollan Strand, Ballyliffin & Five Fingers Strand)",Coastal Erosion Risk Management Study,76500,2016
Dun Laoghaire / Rathdown,Deansgrange Stream,Realign stream & embankment,122339,2015
Dun Laoghaire / Rathdown,Packenham Rd Monkstown,Install new screen and overland route,43200,2011
Dun Laoghaire / Rathdown,Deansgrange Stream,Realign stream & embankment,148500,2013
Dun Laoghaire / Rathdown,Johnstown / Granville Road,"Study, upgrade of trash screen, access road realignment & replace section of boundary fence",30000,2016
Dun Laoghaire / Rathdown,Stradbrook Stream Monkstown,Replace culverts at two locations Screen replacement,153000,2012
Dun Laoghaire / Rathdown,Monkstown,Monkstown & Stradbrook Stream hydraulic assessment study,135000,2020
Dun Laoghaire / Rathdown,Loreto Park Nutgrove,Install new screen to latest standards,31500,2016
Fingal County Council,The Grange Malahide,Construction of bund/berm & associated works,93600,2013
Fingal County Council,Rowlestown,Construction of a flood defence embankment along the left bank of the Broadmeadow Tributary in Rowelstown,153000,2011
Fingal County Council,"R127, Skerries Balbriggan Regional Road","Emergency sea defence works- stonework pointing, replacement of existing wall, additional rock armour & re-instatement of damaged rock armour",197480,2014
Fingal County Council,Portrane Phase 1,Supply and installation of 400 no. concrete 'SeaBee' units as temporary interim emergency measures,422008,2020
Fingal County Council,Aspen Swords,Increase the channel capacity by widening the Gaybrook stream along a 200m length at Aspen,54000,2011
Fingal County Council,Malahide Town Centre,Study,45000,2014
Fingal County Council,Portrane / Rush,Coastal Erosion Risk Management Study,57800,2013
Fingal County Council,Portrane Phase,Supply and installation of 517 no. concrete 'SeaBee' units as temporary interim emergency measures,524697,2020
Fingal County Council,The Burrow Portrane,Installation of 380 no. concrete ‘SeaBee’ units to reduce the wave energy reaching the dune face(Temporary interim emergency measures),456464,2018
Galway County Council,Clonfert Co. Galway,,119327,2024
Galway County Council,Tierney's Yard Oughterard,"Install 170m of 600mm diameter surface water drain, two manholes & a petrol interceptor",27922,2018
Galway County Council,Mira,Detailed study of lands – Up to 600m of 600-900mm pipe required,67500,2010
Galway County Council,Ahascragh,Channel cleaning,45000,2010
Galway County Council,Lakyle Craughwell,Study,9000,2016
Galway County Council,New Inn Village,Regrade stream & upgrade culvert,31500,2010
Galway County Council,Cahermore Kinvarra,Construction of a concrete box culvert & associated road raising,48150,2013
Galway County Council,Rathgorgin Athenry,Installation of pipeline / Provide outfall to local drain / Cleaning of existing drainage channel,13500,2011
Galway County Council,Cregboy,Installation of flood gates,10800,2020
Galway County Council,"Moneen, Tuam",Install new 450mm diameter concrete pipe crossing road with headwalls/ NRV.,54000,2023
Galway County Council,Thornfield Portumna,Replace the existing agricultural access road culverts with 900mm twin wall piped culverts & ancillary works,17360,2015
Galway County Council,Cloonamore- Inishboffin Island as a whole,Comprehensive coastal erosion & flood risk management study for Inisboffin Island as a whole,90000,2015
Galway County Council,Grattan Park Mountbellew,To replace and upsize the existing 600mm diameter pipe to 1050mm diameter pipe & associated works,50400,2018
Galway County Council,Castlenancy Gortymadden,Carry out channel maintenance works upstream and downstream of the existing culverts & increasing the capacity by upgrading with a 900mm diameter pipe,65250,2018
Galway County Council,Curragh Kilconnell Ballinsloe,To install a 220mm of 450mm diameter pipe with two headwalls & manholes.,54000,2020
Galway County Council,Ardmore Kilkieran,Increase capacity instream by widening instream for 150m,18000,2019
Galway County Council,Ballyglass Turloughmore,Assess area downstream for discharge and install culvert under N63,18000,2010
Galway County Council,Crowsnest Laurencetown,Upgrade culverts,9000,2010
Galway County Council,Curra Abbey,Install drainage pipes & replace the old stone culvert with new piped system,18000,2020
Galway County Council,Renville West Oranmore,Carry out drainage maintenance works on approx 950m of channel,9000,2013
Galway County Council,Kilcloghans Tuam,"To construct a reinforced concrete flood defence wall, a 600mm pipe and flap valve to be fitted to the outfall of the existing open land drain to the Clare River",19845,2016
Galway County Council,Clonfert Ballinasloe,Construct a new 450mm storm water sewer,29925,2015
Galway County Council,Woodlawn Ballinasloe,Maintenance of 6.5m of channel,13500,2012
Galway County Council,Lacka 2 Bridge,Replace existing bridge with a new larger structure with a greater hydraulic capacity,27400,2012
Galway County Council,Termon North Gort,Phase 1 of the Environmental Assessment,15715,2012
Galway County Council,"Cahernaglass, Monivea,","Install 300m of 450mm diameter drainage pipe into nearby drain, Clean existing drain and install earth embankment at rear of properties",24750,2023
Galway County Council,Rinville West Oranmore,Drainage maintenance works on approximately 950m of channel,23346,2015
Galway County Council,Kilcrow River Killimor,Hydrological & Environmental Assessment of river & bridge works.,22500,2021
Galway County Council,Derrymullan Ballinasloe,Derrymullen Flood Defence Additional Works-The diversion of an existing open drain / Deepening & widening of the Deerpark River / Provision of a second culvert at Ahascragh Road. Construction of a flood defence wall,108000,2011
Galway County Council,Skecoor Kiltormer,"Clean existing open drains, replace 300mm diameter surface water pipeline with a 450mm pipeline. Filter drainage to be provided for a distance of approximately 75m",33030,2018
Galway County Council,Loughaunboy Caltra Balllinasloe,Replace existing stone culvert with culvert of larger capacity & regrade existing open drains,11700,2012
Galway County Council,Peterswell Gort,Replace existing culverts & maintain existing open drains,22500,2012
Galway County Council,Caheroyn Drive Athenry,"Remove palisade fencing & existing stone wall, construct low stone wall & flood defence wall, construct sump & associated works",4500,2018
Galway County Council,Ballyglass Kilconnell Ballinasloe,"Clean existing field drains & roadside drains, replace existing pipes with 900mm diameter pipes & associated works",45450,2017
Galway County Council,Cloonamore Inishboffin,Comprehensive coastal erosion & flood risk management study for Inisboffin Island as a whole,5396,2021
Galway County Council,Leenaun Graveyard & Parochial House,Rock armour works,135000,2019
Galway County Council,N18 at Oranmore,Cleaning of all blockages and obstructions to flow of the stream from N18 to the outfall at the sea,14400,2010
Galway County Council,Cloonrelagh Mountbellew,Regrading of the stream & the inlet and outlet of the culvert,11250,2010
Galway County Council,Killeenadeema Loughrea,To culvert the existing watercourse with a 600mm diameter twin wall pipe & construct a road crossing to a discharge point approx. 500m downstream into an existing drain,57817,2015
Galway County Council,Kilcommadan Aughrim Ballinasloe,Upgrade road bridge on existing watercourse,6030,2012
Galway County Council,Toor-Ballylee Gort,To carry out extensive channel maintenance & associated works,50000,2013
Galway County Council,"Carrownamorrissy, Craughwell",,18000,2024
Galway County Council,"Cross St/Lake Road, Loughrea",Installation of additional gullies / removal of existing culvert & replacement with a culvert of greater capacity,5000,2012
Galway County Council,Clonbern Tuam,Regrading of agricultural lands to divert flow path of floodwaters,18000,2018
Galway County Council,L42196 Roo Craughwell,To construct a new 450mm diameter storm water collection system & associated works,17100,2018
Galway County Council,Knockaunglass Athenry,Carry out channel maintenance and re-grading works where necessary downstream of the existing culvert for approx 1000m along with increasing the capacity of the culvert via de-silting/cleaning works,11237,2015
Galway County Council,Rahins Mountbellow,"Replacement of culverts, regarding of channels",13500,2010
Galway County Council,Tynagh Road,Collect surface water run off from the agricultural lands opposite the property and carry it in a combination of open channel and piped sections through both the existing road margin and within adjacent agricultural lands,31603,2015
Galway County Council,Carheens Cross Belclare,Install 600mm pipe,9000,2010
Galway County Council,Ballyglass Turloughmore,Construct a new pipe from existing open drain to existing piped drain in N63 verge,4860,2015
Galway County Council,Pollnagarragh East Mannin Cross Craughwell,Maintenance & cleaning of existing drainage system,6750,2014
Galway County Council,Cooleran Turloughmore,Dig 240m open drain (remove trees and ditch) Lay culvert & 90m of pipe to drain (900mm diameter) & associated works,9450,2018
Galway County Council,"Carraroe Area Office, Inverin",Install new culvert under road,5850,2010
Galway County Council,Kilconnell,Lay a new culvert along the route of the stone shore drainage system,36000,2009
Galway County Council,Gortaha Portumna,Replace existing culvert with larger 450mm diameter pipe,16875,2018
Galway County Council,"Whyte's, Carrownamadra Kinvarra","Construct a 140m length of stone faced concrete block retaining wall, 750mm high around a section of the property & to install a sump & road crossing.",13500,2016
Galway County Council,Kiltartan & Coole Gort,"Reinstatement of culverts at Kiltartan, new culverts, improvements & cleaning of existing masonry arch bridge and associated works",351000,2011
Galway County Council,Graiguenavaddoge Caltra,"To construct two headwalls, clean/construct field drains, install a new 600mm diameter culvert & associated works",14940,2017
Galway County Council,Rafarn Loughrea,Installation of a surface water drain,45000,2018
Galway County Council,Dark Road Castletaylor North Ardrahan,Study,9000,2016
