text,favorites,retweets,source,day,hour,sentiment_score,sentiment_tag,sent_count,day_name
"""Organ donation can save another life.""

#Watch Caroline, Paediatric ICU Nurse in Temple Street Hospital, speak about organ donation. #HaveThatConversation with your family this weekend. #OrganDonationSavesLives https://t.co/kU1vdK1END",75,32,Twitter Web App,2021-11-27,09,0.0,Neutral,303,Saturday
Here are today's walk-in #COVIDVaccine clinics. We're operating some walk-in clinics for booster vaccines for healthcare workers &amp; people aged 60-69. You must wait at least 5 months after your first vaccine course before receiving a booster👉🏾https://t.co/z5oMZbMSxP #ForUsAll https://t.co/df4hRIESYw,34,21,Twitter Media Studio,2021-11-27,08,-0.05,Negative,59,Saturday
@almdpaulinha Hi there. Here are the details of what is required: https://t.co/3ezFdRG5uQ,1,0,Agorapulse app,2021-11-26,20,0.0,Neutral,303,Friday
"@grumpycorkchef Hi there,

Thank you for contacting us.

Can you send us a dm about your query.

Kind regards.",1,0,Agorapulse app,2021-11-26,19,0.6,Positive,338,Friday
"The Dementia #UnderstandTogether campaign recently partnered with IRS local radio stations to raise awareness for dementia. 20 people shared their experience of dementia, including some members of @alzheimersocirl. You can listen to the interviews here: https://t.co/oimD4rsYWI https://t.co/TPwpzxjD9U",11,5,Twitter Media Studio,2021-11-26,19,0.0,Neutral,303,Friday
"Injury units are for the treatment of minor injuries that are unlikely to need admission to hospital. So if it's a sprain, break or minor burn, head to your local injury unit.  Find your local unit here: https://t.co/I35NifLMKz https://t.co/yqXgzJIZXk",8,3,Twitter Web App,2021-11-26,16,-0.12,Negative,59,Friday
The closing date has been extended for the recuitment of community swabbers for COVID-19 testing teams. Applications will now close on December 3rd. Click on the link to apply ➡ https://t.co/JNFZiP7bu3 https://t.co/Wp323yA9se,25,24,Twitter Media Studio,2021-11-26,15,0.0,Neutral,303,Friday
"@marickab Hi Maricka, you can find more information about who can attend the walk-in booster clinics on the HSE website here: https://t.co/2ew0ZKomar",0,0,Agorapulse app,2021-11-26,13,0.5,Positive,338,Friday
"Leave space for others when entering or exiting shops or restaurants and help reduce the spread of COVID-19.  
 
#StaySafe | #ForUsAll https://t.co/GBYF8N71IO",15,11,Twitter Web App,2021-11-26,13,0.0,Neutral,303,Friday
"The flu is a serious illness. People who have certain long term conditions, pregnant women, those aged 65 or over and children aged 2 to 17 should get their free flu vaccine from their GP or Pharmacist.
➡ https://t.co/5ZnO6RFY1b #YourBestShot https://t.co/jOOJaHzsxM",21,3,Twitter Web App,2021-11-26,11,0.052040816,Neutral,303,Friday
"@shinebox2 Hi there, due to the rise in cases test appointment slots may book out. More appointment slots will be made available throughout the day and again tomorrow if you check back then.",0,0,Agorapulse app,2021-11-26,11,0.19375,Positive,338,Friday
"@cicilaflaka Hi Ciara, could you please DM us regarding this?",1,0,Agorapulse app,2021-11-26,10,0.0,Neutral,303,Friday
"If you're regularly in high-risk environments, and you don't have symptoms, the advice is to use antigen tests twice a week. If you do have symptoms - please don't use an antigen test. Stay at home and book in for a PCR test.

#ForUsAll | https://t.co/QBUhe6k0Ps https://t.co/kjzwW7HAfm",17,13,Twitter Media Studio,2021-11-26,09,0.0,Neutral,303,Friday
"@Saraht00001 Hi there, you can find more information about the booster vaccine on the HSE website here: https://t.co/kS7LjD6IUv",1,1,Agorapulse app,2021-11-26,07,0.5,Positive,338,Friday
"We are now operating walk-in booster COVID-19 vaccination clinics. These clinics are for healthcare workers and people aged 60-69 who have already completed their primary course of vaccine. Find out more: https://t.co/GfrSkOy9U8
#COVIDVaccines | #ForUsAll https://t.co/YMu8ztT0W5",63,45,Twitter Media Studio,2021-11-25,19,0.26666666699999997,Positive,338,Thursday
"Scaipeann #COVID19 i mbraoiníní a thagann as do bhéal nó do shrón. Caith clúdach aghaidhe agus cuir stop le scaipeadh an víris, fiú i gcás daoine nach eol dóibh go bhfuil sé orthu. https://t.co/OXt42nIuFw",6,2,Twitter Web App,2021-11-25,17,0.0,Neutral,303,Thursday
"The Alzheimer Society of Ireland's freephone helpline is available Monday - Friday 10am-5pm and Saturday 10am-4pm.

Please call 1800 341 341 for information and support. #UnderstandTogether

@alzheimersocirl https://t.co/aGTXY8AbbU",10,6,Twitter Web App,2021-11-25,16,0.4,Positive,338,Thursday
It's your last chance to sign up for this evening's webinar with parenting expert Dr Colman Noctor and Prof. Donal O’Shea talking about healthy eating and reducing treats. #MakeAStart and sign up here: https://t.co/KMsfY3bw8W https://t.co/8njyCcMKAA,14,5,Twitter Web App,2021-11-25,15,0.25,Positive,338,Thursday
WATCH - COVID-19 update from Dr. Steevens' Hospital https://t.co/7cnLiHh4Ds,10,3,Twitter Media Studio,2021-11-25,13,0.0,Neutral,303,Thursday
"Everyone aged 12 and over can register for a free #COVIDVaccine if you haven't already.  
 
Parents or guardians of 12 to 15-year-olds can register for their children. 12 to 15-year-olds cannot register themselves. 
 
Learn more: https://t.co/t0mwVg2ptG

#ForUsAll https://t.co/OgX3v4LXYw",11,5,Twitter Web App,2021-11-25,13,0.26666666699999997,Positive,338,Thursday
"Face coverings help to reduce the spread of #COVID19. They should:

➡cover the nose &amp; go under the chin
➡fit snugly against the side of the face
➡be secured with ties or ear loops
➡include at least 2 layers of fabric
➡allow for unrestricted breathing https://t.co/bSav1HGWez",46,26,Twitter Web App,2021-11-25,11,-0.3,Negative,59,Thursday
"StrokeLINK, run by the Mater Hospital, helps patients stay healthier at home and avoid hospital visits. StrokeLINK specialist nurses connect with patients before leaving hospital and guide them through the discharge process. 

Learn more: https://t.co/poIeNQxExP #OurHealthService https://t.co/zVJKbS7m5u",14,3,Twitter Web App,2021-11-25,10,0.5,Positive,338,Thursday
"Children are twice as likely as adults to get the flu, and it can sometimes make children very sick. But the free nasal spray flu vaccine can help protect your children, and the rest of your family too. 

Learn more: https://t.co/CJwAb6ay2V

#YourBestShot https://t.co/Ynz3iYaRGu",16,11,Twitter Web App,2021-11-25,09,-0.007142857,Negative,59,Thursday
"@PaulS97292477 Hi Paul, could you please DM us regarding this?",0,0,Agorapulse app,2021-11-25,07,0.0,Neutral,303,Thursday
"@olivedelaney10 Hi Olive, you can read more about boosters here: https://t.co/kS7LjD6IUv",0,0,Agorapulse app,2021-11-24,18,0.5,Positive,338,Wednesday
"If you have had COVID-19, and you’re due to get a booster vaccine dose, you’ll need to wait until around 6 months after your positive test result.  More: https://t.co/fiX6R3pmRA
  
#COVIDVaccines | #ForUsAll https://t.co/UcYvgmV6Wr",13,8,Twitter Web App,2021-11-24,18,0.20075757600000002,Positive,338,Wednesday
"@Triciaodea1 @paulreiddublin Hi there, you can read more information on the booster rollout here: https://t.co/kS7LjD6IUv",0,0,Agorapulse app,2021-11-24,17,0.5,Positive,338,Wednesday
"People receiving any suspicious calls, texts or other contacts advising on #COVIDVaccine appointments, or seeking personal or banking details are advised to report these contacts to the Garda confidential line 1800 666 111. https://t.co/Fhw1BWLJm1",12,3,Twitter Media Studio,2021-11-24,16,-0.0625,Negative,59,Wednesday
We are recruiting community swabbers for COVID-19 testing teams. Full training will be provided to carry out the role. Click on the link to apply ➡ https://t.co/FXFnOuVoZI https://t.co/7rDghQkBTt,49,46,Twitter Media Studio,2021-11-24,16,0.35,Positive,338,Wednesday
"If you're regularly in high-risk environments, and you don't have symptoms, the advice is to use antigen tests twice a week. If you do have symptoms - please don't use an antigen test. Stay at home and book in for a PCR test.

#ForUsAll | https://t.co/QBUhe6k0Ps https://t.co/DSdB1v8lla",34,23,Twitter Web App,2021-11-24,15,0.0,Neutral,303,Wednesday
"@killilea_n Hi there, if you give our team a call on 1800 700 700 they can update this for you.",0,0,Agorapulse app,2021-11-24,14,0.0,Neutral,303,Wednesday
"""It is a really positive thing""

Martina Goggin and her family donated her son Eamonn’s organs after he died in a car accident in 2016. 

#OrganDonationSavesLives |  #HaveThatConversation | @odti_irl https://t.co/kxaDYzwts5",32,4,Twitter Web App,2021-11-24,13,0.22727272699999998,Positive,338,Wednesday
"@mahony_colin Hi Colin, could you please DM us with some more information about this?",0,0,Agorapulse app,2021-11-24,13,0.5,Positive,338,Wednesday
"The Irish Suicide Bereavement Survey is open for responses. It aims to examine the experiences of people who have been bereaved by suicide &amp; to learn about the supports &amp; services that people used following bereavement. Take the survey here: https://t.co/XcZucVZ3zY

@NOSPIreland https://t.co/aO6qqzZUm4",23,20,Twitter Web App,2021-11-24,11,0.0,Neutral,303,Wednesday
"Flu is a serious illness caused by the seasonal flu virus. If you are immunocompromised, you are more likely to get very sick from flu. That's why it's important to get your free flu vaccine from your GP or pharmacist this winter. Learn more: https://t.co/5ZnO6RXySJ #YourBestShot https://t.co/yv616g19Zi",14,5,Twitter Media Studio,2021-11-24,10,0.076870748,Neutral,303,Wednesday
"Do you know the difference between a yellow, orange and red weather warning? Visit https://t.co/D2yIAVi8cn to learn more and #BeWinterReady

@EmergencyIE @MetEireann https://t.co/Tj5z8BJOYy",7,4,Twitter Web App,2021-11-24,10,0.166666667,Positive,338,Wednesday
"Wearing a face covering helps stop the spread of COVID-19, especially from people who do not know they have the virus.  https://t.co/5O5EI1E1WZ
 
#StaySafe | #ForUsAll https://t.co/EGHkUjGGwH",29,18,Twitter Web App,2021-11-23,17,0.0,Neutral,303,Tuesday
"RT @ULHospitals: As Bonnie, the Therapy Dog, is set to retire, she made her final visit to the Children's Ark, Paediatric Unit at UHL yeste…",0,44,Twitter Web App,2021-11-23,17,0.0,Neutral,303,Tuesday
"Healthcare workers can prevent the spread of #flu and save lives by getting the  flu vaccine. Speak to your line manager, peer vaccinator, or occupational health department about getting your free flu vaccine this winter. 

#YourBestShot | https://t.co/i4itoRRzF8 https://t.co/AzVMBRNRu9",8,3,Twitter Web App,2021-11-23,15,0.4,Positive,338,Tuesday
"@UnicornMammy Hi Niamh,

Thanks for your message.

Due to the rise in cases these appointment slots may book out. More appointment slots will be made available throughout the day and again tomorrow if you check back then.

Kind regards.",0,0,Agorapulse app,2021-11-23,14,0.2625,Positive,338,Tuesday
"If you have symptoms of COVID-19, self-isolate and get a PCR test. Do this even if you are part or fully vaccinated against COVID-19.  
 
Learn more: https://t.co/Mw2WsOqEvP 

 #StaySafe | #ForUsAll https://t.co/U7mdoR6tUB",31,17,Twitter Web App,2021-11-23,13,0.5,Positive,338,Tuesday
"If you haven't had your vaccine yet, or you've missed your second dose, you're more at risk of serious illness.  
 
Register for your free vaccine online or visit a walk-in vaccination clinic. Times and locations are here: https://t.co/k9zcG84EpN

#COVIDVaccines | #ForUsAll https://t.co/j5fHfaFYZb",14,7,Twitter Media Studio,2021-11-23,11,0.141666667,Neutral,303,Tuesday
"@deedee_roche Hi Des, Thanks for your message. Due to the rise in cases these appointment slots may book out. More appointment slots will be made available throughout the day and again tomorrow if you check back then.",0,0,Agorapulse app,2021-11-23,11,0.195,Positive,338,Tuesday
"@mooreapj Hi there, The HSE is not looking after the Digital COVID Certificate. If you have any queries regarding your Digital COVID Certificate or wish to make changes to your details for your certificate, you will need to call the Digital COVID Certificate helpline at 1800 807 008",0,0,Agorapulse app,2021-11-23,11,0.0,Neutral,303,Tuesday
"@maireadmarymc Hi Mairead, Thanks for your message. Due to the rise in cases these appointment slots may book out. More appointment slots will be made available throughout the day and again tomorrow if you check back then.",0,0,Agorapulse app,2021-11-23,10,0.195,Positive,338,Tuesday
"""Noticing an unusual symptom and contacting your GP to have it checked could save your life."" 

Don't hesitate to contact your GP if you have signs or symptoms that could be #cancer. 

Read more: https://t.co/n3REy9BtIJ https://t.co/Ra9ff8cslj",16,7,Twitter Media Studio,2021-11-23,09,0.35,Positive,338,Tuesday
"@flyfisherboy1 Hi there, Due to the rise in cases these appointment slots may book out. More appointment slots will be made available again tomorrow if you check back then",0,0,Agorapulse app,2021-11-22,21,0.19375,Positive,338,Monday
"@JenCimerman Hi Jennifer, if you can DM us some more details we will take a look for you.",1,0,Agorapulse app,2021-11-22,20,0.5,Positive,338,Monday
"Keep protecting yourself and others from COVID-19. Take steps to reduce your risk. 

#ForUsAll | #StaySafe https://t.co/U2uRKhYwXP",35,18,Twitter Media Studio,2021-11-22,18,0.0,Neutral,303,Monday
"RT @saoltagroup: Dr Kevin Clarkson, Consultant in Intensive Care Medicine in GUH urges the public to follow #COVID19 guidance

""Mortality f…",0,65,Twitter Web App,2021-11-22,17,0.0,Neutral,303,Monday
"@redmondtweets12 Hi Darren, can you please drop us a DM with some more details?",1,0,Agorapulse app,2021-11-22,17,0.5,Positive,338,Monday
"@aoifedowd Hi Aoife, you can request cancellation of an appointment here: https://t.co/pLqgiOVSem",0,0,Agorapulse app,2021-11-22,17,0.0,Neutral,303,Monday
"@KeenaSiobhan Hi Siobhan, those over 60, immunocompromised or healthcare workers are currently being offered booster vaccines. You can read more information here: https://t.co/kS7LjD6IUv",1,0,Agorapulse app,2021-11-22,17,0.25,Positive,338,Monday
"@NesbittCathy Hi Cathy, once we have more information on booster doses for other groups this will be announced on our website here: https://t.co/Qk7r17VvxN",0,0,Agorapulse app,2021-11-22,16,0.1875,Positive,338,Monday
"Don't put off having your COVID-19 vaccine if you're pregnant or thinking of getting pregnant.  
 
Register for your free vaccine today:  https://t.co/3oqrOmerVX

#COVIDVaccines | #ForUsAll https://t.co/QvdfU4xGnX",36,12,Twitter Media Studio,2021-11-22,16,0.355555556,Positive,338,Monday
@celticgibson Our Medical Card team will be able to help you out with this. They can assign a GP to you. They can be reached by Telephone: 1890 252 919 (LoCall) or 01 8647100. Or you can email: clientregistration@hse.ie,0,0,Agorapulse app,2021-11-22,14,0.25,Positive,338,Monday
"Remember that antibiotics don’t work on viruses, like #COVID19, colds and flu. 

Only take antibiotics when prescribed by your GP. 

#KeepAntibioticsWorking | #AntibioticResistance | https://t.co/sLyvrrwYdb https://t.co/aJJnFxYZm9",15,13,Twitter Web App,2021-11-22,14,0.0,Neutral,303,Monday
"Pregnant women are more at risk of serious illness from the flu. Your flu vaccine is free from GP and pharmacies. 

➡ More: https://t.co/5ZnO6RXySJ

#YourBestShot https://t.co/VmZPyS4ZFU",17,8,Twitter Web App,2021-11-22,11,0.28,Positive,338,Monday
"The unique risks posed by winter can occur suddenly and unexpectedly. To ensure you are best prepared for the months ahead, visit https://t.co/D2yIAVi8cn and #BeWinterReady

@EmergencyIE https://t.co/61QvyTuV4E",12,5,Twitter Media Studio,2021-11-22,10,0.36875,Positive,338,Monday
"@peadar38 Hi Peter,

Thank you for contacting us.

Can you send us a dm please and we will get this resolved for you.

Kind regards.",0,0,Agorapulse app,2021-11-22,09,0.6,Positive,338,Monday
"Don't make your minor injury a major hassle. If it's a sprain, break or minor burn, your local injury unit can treat you. Find out more about injury units here: https://t.co/nkAbpi2QH9 https://t.co/TYcbGJpITn",16,5,Twitter Web App,2021-11-22,09,0.0925,Neutral,303,Monday
"@Geraldi80573562 @paulreiddublin Hi Geraldine, you can see more information on how different groups will be offered their booster here: https://t.co/kS7LjD6IUv",0,2,Agorapulse app,2021-11-21,19,0.25,Positive,338,Sunday
"@LizdoyleS Hi Liz, I am sorry to hear that. Can you drop us a DM with some more details please?",0,0,Agorapulse app,2021-11-21,18,0.0,Neutral,303,Sunday
"If you're regularly in high-risk environments, and you don't have symptoms, the advice is to use antigen tests twice a week. If you do have symptoms - please don't use an antigen test. Stay at home and book in for a PCR test.

#ForUsAll | https://t.co/g5H6CZOY6D https://t.co/bLI0reLblp",47,19,Twitter Media Studio,2021-11-21,17,0.0,Neutral,303,Sunday
"@sarahlouise2139 Hi Sarah, he should give our helpline a call to check this. They will be able to confirm his result.",0,0,Agorapulse app,2021-11-21,17,0.5,Positive,338,Sunday
"Over time, drinking too much alcohol can change the physical shape and structure of the brain, leading to changes in personality and problems with thinking, mood, memory and learning. Click here to learn more: https://t.co/fd1UDB9gVX #AlcoholAwarenessWeek https://t.co/xhvHCvejX7",25,11,Twitter Web App,2021-11-21,16,0.233333333,Positive,338,Sunday
"@jaypatton21 I am sorry to hear you are waiting for results. Most people will get their test results back within 2 days.
If you have been waiting for longer than this please give our team a call on 1800 700 700. They will be able to look into this for you.",0,0,Agorapulse app,2021-11-21,15,0.125,Neutral,303,Sunday
"@todayInIreland Hi there, you can request a change of location here: https://t.co/pLqgiOVSem",0,0,Agorapulse app,2021-11-21,15,0.0,Neutral,303,Sunday
"@MsRachaelBall Hi Rachael, they do not perform the PCR tests, but they can refer you for an appointment in a test center.",1,0,Agorapulse app,2021-11-21,15,-0.1,Negative,59,Sunday
"RT @IrishKidneyAs: Please join us this afternoon for our 36th Annual Service of Remembrance and Thanksgiving 🕯

Broadcast on @rtenews chann…",0,9,Twitter for iPhone,2021-11-21,14,0.0,Neutral,303,Sunday
"Antibiotics have transformed medicine. Keep them working. Only prescribe when absolutely needed. 

#KeepAntibioticsWorking | #PrescribeWisely | https://t.co/SpGZuQSk7t https://t.co/SBRVIDD7Uq",15,8,Twitter Web App,2021-11-21,14,0.1,Neutral,303,Sunday
@Catheri18757637 @paulreiddublin Hi Catherine. When we have further details on boosters for those who got the Janssen vaccine we’ll update our website and social media.,3,0,Twitter for iPhone,2021-11-21,13,0.016666667,Neutral,303,Sunday
@gracemarylaura @paulreiddublin Hi Mary. Booster doses are by appointment at the moment.,0,1,Twitter for iPhone,2021-11-21,13,0.0,Neutral,303,Sunday
"While anyone can catch the flu, some people are more at risk of getting seriously ill or needing hospital treatment. If you are at risk of serious illness from flu, make an appointment with your GP or pharmacist to get your #FluVaccine today. https://t.co/5ZnO6RFY1b #YourBestShot https://t.co/gv4dasllci",15,5,Twitter Web App,2021-11-21,11,-0.111111111,Negative,59,Sunday
"Walk-in clinics are open people aged 12 and older. Children aged 12 to 15 must attend with their parent or guardian.
Visit https://t.co/2ew0ZKomar for more details. 

#ForUsAll",6,2,Twitter for iPhone,2021-11-21,09,0.093333333,Neutral,303,Sunday
"📍Letterkenny Community Assessment Hub 8.15am - 5.50pm
📍Ongar Community Centre 11am - 1pm, 2pm - 5pm
📍Punchestown Racecourse 10am - 5pm
📍Limerick Racecourse 3pm - 6pm
📍Glencarn Hotel 9.30am - 5pm
📍Waterford IT 8.15am - 5pm
📍Astro Active Centre 9am - 1pm
📍Shoreline 4 - 7pm",8,4,Twitter for iPhone,2021-11-21,09,-0.133333333,Negative,59,Sunday
"Here are today’s open walk-in #COVIDVaccine clinics. Walk-in clinics are for first and second dose only. You cannot get a booster dose at a walk-in vaccination clinic. 

📍The Old Courthouse, Ballyjamesduff, 12pm to p6m
📍City Hall Cork, 1pm to 4pm https://t.co/6VRyXYG2AS",33,18,Twitter for iPhone,2021-11-21,09,0.07,Neutral,303,Sunday
"COVID-19 vaccines will protect you from serious illness from COVID-19. 
Visit https://t.co/ArEPf6sfUk to find out everything you need to know about COVID-19 vaccines, how they work and how to get your free vaccine in Ireland: https://t.co/2Vlo3YzwLu
 
#COVIDVaccines | #ForUsAll https://t.co/mBSTlfq7Un",8,3,Twitter Web App,2021-11-21,09,0.033333333,Neutral,303,Sunday
"Are you prepared for the winter months ahead? To ensure you and your family are protected from the risks posed by the season, visit https://t.co/D2yIAVi8cn and #BeWinterReady

@EmergencyIE https://t.co/n30wmm0uAP",10,6,Twitter Web App,2021-11-20,18,0.0,Neutral,303,Saturday
"RT @roinnslainte: #LayerUp to protect yourself from #COVID19 infection:

☑️Get a vaccine
☑️Sanitise hands
☑️Wear a mask
☑️Show your Digital…",0,37,Twitter for iPhone,2021-11-20,16,0.0,Neutral,303,Saturday
#COVID19 is mainly spread through droplets that come from your nose and mouth. Wearing a face covering reduces the spread of these droplets and aerosols. It also helps stop the spread of the virus from people who may not know they have it. Learn more: https://t.co/1eKi4LFYuq https://t.co/YM3i2cNobB,20,13,Twitter Media Studio,2021-11-20,16,0.333333333,Positive,338,Saturday
"If you test positive for COVID-19 you will get a text message. This will include a link to a website where you can upload contact details for your close contacts. If you do not use the website, a contact tracer will phone you to collect the details. https://t.co/nxK4OmRRL8",17,6,Twitter Media Studio,2021-11-20,14,0.22727272699999998,Positive,338,Saturday
"Tá #COVID19 ag scaipeadh fós. Cabhraigh linn srian a chur leis agus ná buail ach le grúpa beag cairde, fan amach ó dhaoine eile agus glan do lámha nó úsáid díghalrán go rialta. Fillfidh muid arís ar an saol mar a bhí – go sábháilte. #DoChách https://t.co/DoBRtTiJAy",19,4,Twitter Media Studio,2021-11-20,12,0.0,Neutral,303,Saturday
"#KeepAntibioticsWorking: hand washing is the single most effective way to stop the spread of infection in homes, workplaces and hospitals, limiting the need to use antibiotics if someone gets very sick 🧼🙌 https://t.co/kKnJYHC8Jm",8,3,Twitter Web App,2021-11-20,11,0.025,Neutral,303,Saturday
"RT @paulreiddublin: Some #COVID19 updates. 200,500 lab tests done in the past 7 days. 550,000 boosters &amp; 3rd doses administered so far. 640…",0,61,Twitter for iPhone,2021-11-20,10,-0.05,Negative,59,Saturday
"If you're regularly in high-risk environments, and you don't have symptoms, the advice is to use antigen tests twice a week. If you do have symptoms - please don't use an antigen test. Stay at home and book in for a PCR test.

#ForUsAll | https://t.co/00FnsNt45m https://t.co/qR0meL2rJS",10,3,Twitter Media Studio,2021-11-20,10,0.0,Neutral,303,Saturday
Covid-19 community testing integration featuring the @AmbulanceNAS and the @defenceforces won the recent 2021 HSE Excellence Award in the Operational Services Integration. Read more: https://t.co/sSw36pbycs #OurHealthService https://t.co/z0OCmefFf0,99,21,Twitter Web App,2021-11-20,09,0.25,Positive,338,Saturday
"The booster dose is recommended at least 5 months after your last vaccine, to give you the best possible protection. Please take up your booster appointment when it's offered.

#ForUsAll | Learn more: https://t.co/lz1zUE4vIN",13,2,Twitter for iPhone,2021-11-20,08,0.24,Positive,338,Saturday
"Booster doses of COVID-19 vaccine are currently being offered to everyone aged 60+ and healthcare workers.

The protection from your COVID-19 vaccine against severe illness from COVID-19 may weaken over time. https://t.co/MfmjPZlzxl",44,15,Twitter for iPhone,2021-11-20,08,-0.05,Negative,59,Saturday
"@AmeliaSnaps Hi Lainey, Booster appointments will be set out via text.",1,0,Agorapulse app,2021-11-19,20,0.0,Neutral,303,Friday
"@LauraPNolan Hi Laura, I am sorry to hear that. Can you drop us a DM with some more information please?",0,0,Agorapulse app,2021-11-19,20,0.0,Neutral,303,Friday
@danii_lynch I am sorry to hear that Danielle. If you drop us a DM with some more information we will help you with this.,1,0,Agorapulse app,2021-11-19,18,0.0,Neutral,303,Friday
"@BillyQSad Hi there, Walk-in clinics are for first and second dose only. You cannot get a booster dose at a walk-in vaccination clinic. You can see more information here: https://t.co/rxtgWKkCa3",0,0,Agorapulse app,2021-11-19,18,0.1875,Positive,338,Friday
"@GeoffFernihough Hi there, Walk-in clinics are for first and second dose only. You cannot get a booster dose at a walk-in vaccination clinic. You can see more information here: https://t.co/rxtgWKkCa3",0,0,Agorapulse app,2021-11-19,18,0.1875,Positive,338,Friday
"@time_lurker Hi there, Walk-in clinics are for first and second dose only. You cannot get a booster dose at a walk-in vaccination clinic. You can see more information here: https://t.co/rxtgWKkCa3",0,0,Agorapulse app,2021-11-19,18,0.1875,Positive,338,Friday
"@AnneMarieDavy1 Hi AnneMarie, can you send on some more details via DM please and we will advise?",1,0,Agorapulse app,2021-11-19,18,0.5,Positive,338,Friday
"@Siobhan85837220 Hi Siobhan, can you drop us a DM with some more details please?",0,0,Agorapulse app,2021-11-19,18,0.5,Positive,338,Friday
"@CobhJoey Hi Joey, if you can drop us a DM with some more details I can check this for you.",1,0,Agorapulse app,2021-11-19,18,0.5,Positive,338,Friday
"@Valeria_Antocic Hi Valeria, can you drop us a DM with some more details please?",0,0,Agorapulse app,2021-11-19,17,0.5,Positive,338,Friday
"Using antibiotics when they’re not needed helps superbugs grow, and some superbugs can make you very sick – skip the antibiotics unless prescribed by your GP, and get better by yourself ✅

#KeepAntibioticsWorking | #EAAD https://t.co/0mObXbXp8U",15,8,Twitter Media Studio,2021-11-19,17,-0.214285714,Negative,59,Friday
RT @Safeguarding_ie: Tim Hanly opening today's discussion on how we can make safeguarding everyone’s business #SafeguardingDay21 https://t.…,0,5,Twitter Web App,2021-11-19,17,0.0,Neutral,303,Friday
"@time_lurker Hi there, if you DM us we can provide you with some more information.",0,0,Agorapulse app,2021-11-19,17,0.5,Positive,338,Friday
"@krnboyle Hi Karen, you can request this reschedule here: https://t.co/pLqgiOVSem",1,1,Agorapulse app,2021-11-19,16,0.0,Neutral,303,Friday
