date staff_id actual_worked_hours
2020-06-20 2310R 4
2020-06-20 7904G 8
2020-06-20 9900H 6
2020-06-20 7659D 10
2020-06-20 9350P 11
2020-06-20 6072F 10
2020-06-21 8744T 10
2020-06-21 8100O 7
2020-06-21 7106Q 10
2020-06-21 9598T 6
2020-06-21 7380A 11
2020-06-21 2310R 8
2020-06-21 7904G 7
2020-06-21 9900H 10
2020-06-21 7659D 5
2020-06-21 9350P 11
2020-06-21 6072F 6
2020-06-22 8744T 6
2020-06-22 8100O 6
2020-06-22 7106Q 8
2020-06-22 9598T 8
2020-06-22 7380A 7
2020-06-22 2310R 8
2020-06-22 7904G 9
2020-06-22 9900H 6
2020-06-22 7659D 4
2020-06-22 9350P 6
2020-06-22 6072F 5
2020-06-23 8744T 5
2020-06-23 8100O 4
2020-06-23 7106Q 11
2020-06-23 9598T 8
2020-06-23 7380A 5
2020-06-23 2310R 9
2020-06-23 7904G 7
2020-06-23 9900H 5
2020-06-23 7659D 6
2020-06-23 9350P 6
2020-06-23 6072F 11
2020-06-24 8744T 5
2020-06-24 8100O 11
2020-06-24 7106Q 9
2020-06-24 9598T 11
2020-06-24 7380A 8
2020-06-24 2310R 7
2020-06-24 7904G 5
2020-06-24 9900H 11
2020-06-24 7659D 10
2020-06-24 9350P 7
2020-06-24 6072F 8
2020-06-25 8744T 11
2020-06-25 8100O 11
2020-06-25 7106Q 11
2020-06-25 9598T 11
2020-06-25 7380A 7
2020-06-25 2310R 6
2020-06-25 7904G 10
2020-06-25 9900H 9
2020-06-25 7659D 5
2020-06-25 9350P 7
2020-06-25 6072F 9
2020-06-26 8744T 9
2020-06-26 8100O 7
2020-06-26 7106Q 9
2020-06-26 9598T 6
2020-06-26 7380A 9
2020-06-26 2310R 8
2020-06-26 7904G 8
2020-06-26 9900H 6
2020-06-26 7659D 5
2020-06-26 9350P 8
2020-06-26 6072F 4
2020-06-27 8744T 9
2020-06-27 8100O 10
2020-06-27 7106Q 4
2020-06-27 9598T 7
2020-06-27 7380A 8
2020-06-27 2310R 6
2020-06-27 7904G 8
2020-06-27 9900H 11
2020-06-27 7659D 11
2020-06-27 9350P 8
2020-06-27 6072F 6
2020-06-28 8744T 5
2020-06-28 8100O 10
2020-06-28 7106Q 4
2020-06-28 9598T 7
2020-06-28 7380A 8
2020-06-28 2310R 9
2020-06-28 7904G 5
2020-06-28 9900H 5
2020-06-28 7659D 7
2020-06-28 9350P 6
2020-06-28 6072F 5
2020-06-29 8744T 11
2020-06-29 8100O 9
2020-06-29 7106Q 5
2020-06-29 9598T 5
2020-06-29 7380A 4
2020-06-29 2310R 6
2020-06-29 7904G 8
2020-06-29 9900H 9
2020-06-29 7659D 11
2020-06-29 9350P 6
2020-06-29 6072F 6
2020-06-30 8744T 6
2020-06-30 8100O 4
2020-06-30 7106Q 6
2020-06-30 9598T 6
2020-06-30 7380A 10
2020-06-30 2310R 6
2020-06-30 7904G 10
2020-06-30 9900H 9
2020-06-30 7659D 6
2020-06-30 9350P 11
2020-06-30 6072F 11
2020-07-01 8744T 5
2020-07-01 8100O 11
2020-07-01 7106Q 7
2020-07-01 9598T 9
2020-07-01 7380A 11
2020-07-01 2310R 4
2020-07-01 7904G 4
2020-07-01 9900H 6
2020-07-01 7659D 10
2020-07-01 9350P 7
2020-07-01 6072F 10
2020-07-02 8744T 8
2020-07-02 8100O 5
2020-07-02 7106Q 8
2020-07-02 9598T 8
2020-07-02 7380A 8
2020-07-02 2310R 11
2020-07-02 7904G 10
2020-07-02 9900H 4
2020-07-02 7659D 10
2020-07-02 9350P 7
2020-07-02 6072F 5
2020-07-03 8744T 4
2020-07-03 8100O 5
2020-07-03 7106Q 7
2020-07-03 9598T 5
2020-07-03 7380A 11
2020-07-03 2310R 11
2020-07-03 7904G 7
2020-07-03 9900H 6
2020-07-03 7659D 5
2020-07-03 9350P 7
2020-07-03 6072F 5
2020-07-04 8744T 8
2020-07-04 8100O 5
2020-07-04 7106Q 6
2020-07-04 9598T 10
2020-07-04 7380A 5
2020-07-04 2310R 4
2020-07-04 7904G 7
2020-07-04 9900H 4
2020-07-04 7659D 7
2020-07-04 9350P 7
2020-07-04 6072F 11
2020-07-05 8744T 8
2020-07-05 8100O 10
2020-07-05 7106Q 4
2020-07-05 9598T 9
2020-07-05 7380A 6
2020-07-05 2310R 5
2020-07-05 7904G 7
2020-07-05 9900H 9
2020-07-05 7659D 5
2020-07-05 9350P 10
2020-07-05 6072F 9
2020-07-06 8744T 4
2020-07-06 8100O 9
2020-07-06 7106Q 8
2020-07-06 9598T 5
2020-07-06 7380A 4
2020-07-06 2310R 7
2020-07-06 7904G 7
2020-07-06 9900H 7
2020-07-06 7659D 4
2020-07-06 9350P 6
2020-07-06 6072F 9
2020-07-07 8744T 5
2020-07-07 8100O 11
2020-07-07 7106Q 8
2020-07-07 9598T 9
2020-07-07 7380A 10
2020-07-07 2310R 4
2020-07-07 7904G 8
2020-07-07 9900H 4
2020-07-07 7659D 11
2020-07-07 9350P 6
2020-07-07 6072F 11
2020-07-08 8744T 7
2020-07-08 8100O 8
2020-07-08 7106Q 4
2020-07-08 9598T 5
2020-07-08 7380A 10
2020-07-08 2310R 10
2020-07-08 7904G 4
2020-07-08 9900H 11
2020-07-08 7659D 9
2020-07-08 9350P 8
2020-07-08 6072F 11
2020-07-09 8744T 6
2020-07-09 8100O 7
2020-07-09 7106Q 5
2020-07-09 9598T 11
2020-07-09 7380A 11
2020-07-09 2310R 10
2020-07-09 7904G 11
2020-07-09 9900H 8
2020-07-09 7659D 5
2020-07-09 9350P 10
2020-07-09 6072F 6
2020-07-10 8744T 6
2020-07-10 8100O 10
2020-07-10 7106Q 5
2020-07-10 9598T 7
2020-07-10 7380A 11
2020-07-10 2310R 6
2020-07-10 7904G 9
2020-07-10 9900H 6
2020-07-10 7659D 11
2020-07-10 9350P 4
2020-07-10 6072F 10
2020-07-11 8744T 8
2020-07-11 8100O 10
2020-07-11 7106Q 5
2020-07-11 9598T 6
2020-07-11 7380A 8
2020-07-11 2310R 8
2020-07-11 7904G 5
2020-07-11 9900H 6
2020-07-11 7659D 4
2020-07-11 9350P 11
2020-07-11 6072F 9
2020-07-12 8744T 8
2020-07-12 8100O 7
2020-07-12 7106Q 6
2020-07-12 9598T 9
2020-07-12 7380A 6
2020-07-12 2310R 5
2020-07-12 7904G 10
2020-07-12 9900H 10
2020-07-12 7659D 6
2020-07-12 9350P 4
2020-07-12 6072F 10
2020-07-13 8744T 7
2020-07-13 8100O 9
2020-07-13 7106Q 5
2020-07-13 9598T 10
2020-07-13 7380A 5
2020-07-13 2310R 4
2020-07-13 7904G 8
2020-07-13 9900H 7
2020-07-13 7659D 9
2020-07-13 9350P 4
2020-07-13 6072F 7
2020-07-14 8744T 10
2020-07-14 8100O 11
2020-07-14 7106Q 4
2020-07-14 9598T 8
2020-07-14 7380A 6
2020-07-14 2310R 6
2020-07-14 7904G 5
2020-07-14 9900H 7
2020-07-14 7659D 7
2020-07-14 9350P 6
2020-07-14 6072F 5
2020-07-15 8744T 5
2020-07-15 8100O 8
2020-07-15 7106Q 9
2020-07-15 9598T 10
2020-07-15 7380A 5
2020-07-15 2310R 6
2020-07-15 7904G 4
2020-07-15 9900H 11
2020-07-15 7659D 11
2020-07-15 9350P 5
2020-07-15 6072F 10
2020-07-16 8744T 4
2020-07-16 8100O 6
2020-07-16 7106Q 9
2020-07-16 9598T 6
2020-07-16 7380A 7
2020-07-16 2310R 4
2020-07-16 7904G 6
2020-07-16 9900H 7
2020-07-16 7659D 8
2020-07-16 9350P 11
2020-07-16 6072F 11
2020-07-17 8744T 11
2020-07-17 8100O 11
2020-07-17 7106Q 6
2020-07-17 9598T 11
2020-07-17 7380A 9
2020-07-17 2310R 6
2020-07-17 7904G 5
2020-07-17 9900H 11
2020-07-17 7659D 8
2020-07-17 9350P 7
2020-07-17 6072F 8
2020-07-18 8744T 8
2020-07-18 8100O 5
2020-07-18 7106Q 5
2020-07-18 9598T 9
2020-07-18 7380A 5
2020-07-18 2310R 10
2020-07-18 7904G 9
2020-07-18 9900H 11
2020-07-18 7659D 8
2020-07-18 9350P 5
2020-07-18 6072F 7
2020-07-19 8744T 8
2020-07-19 8100O 9
2020-07-19 7106Q 8
2020-07-19 9598T 9
2020-07-19 7380A 6
2020-07-19 2310R 5
2020-07-19 7904G 7
2020-07-19 9900H 4
2020-07-19 7659D 8
2020-07-19 9350P 6
2020-07-19 6072F 9
2020-07-20 8744T 6
2020-07-20 8100O 6
2020-07-20 7106Q 9
2020-07-20 9598T 7
2020-07-20 7380A 8
2020-07-20 2310R 6
2020-07-20 7904G 10
2020-07-20 9900H 10
2020-07-20 7659D 10
2020-07-20 9350P 4
2020-07-20 6072F 7
2020-07-21 8744T 4
2020-07-21 8100O 4
2020-07-21 7106Q 7
2020-07-21 9598T 6
2020-07-21 7380A 4
2020-07-21 2310R 11
2020-07-21 7904G 9
2020-07-21 9900H 5
2020-07-21 7659D 6
2020-07-21 9350P 10
2020-07-21 6072F 10
2020-07-22 8744T 11
2020-07-22 8100O 9
2020-07-22 7106Q 4
2020-07-22 9598T 5
2020-07-22 7380A 10
2020-07-22 2310R 9
2020-07-22 7904G 9
2020-07-22 9900H 9
2020-07-22 7659D 5
2020-07-22 9350P 10
2020-07-22 6072F 6
2020-07-23 8744T 5
2020-07-23 8100O 10
2020-07-23 7106Q 6
2020-07-23 9598T 5
2020-07-23 7380A 9
2020-07-23 2310R 4
2020-07-23 7904G 8
2020-07-23 9900H 4
2020-07-23 7659D 4
2020-07-23 9350P 10
2020-07-23 6072F 6
2020-07-24 8744T 4
2020-07-24 8100O 9
2020-07-24 7106Q 8
2020-07-24 9598T 6
2020-07-24 7380A 11
2020-07-24 2310R 9
2020-07-24 7904G 9
2020-07-24 9900H 5
2020-07-24 7659D 10
2020-07-24 9350P 5
2020-07-24 6072F 5
2020-07-25 8744T 7
2020-07-25 8100O 11
2020-07-25 7106Q 11
2020-07-25 9598T 10
2020-07-25 7380A 10
2020-07-25 2310R 6
2020-07-25 7904G 9
2020-07-25 9900H 8
2020-07-25 7659D 9
2020-07-25 9350P 4
2020-07-25 6072F 10
2020-07-26 8744T 7
2020-07-26 8100O 7
2020-07-26 7106Q 9
2020-07-26 9598T 9
2020-07-26 7380A 10
2020-07-26 2310R 10
2020-07-26 7904G 10
2020-07-26 9900H 7
2020-07-26 7659D 7
2020-07-26 9350P 9
2020-07-26 6072F 4
2020-07-27 8744T 9
2020-07-27 8100O 10
2020-07-27 7106Q 10
2020-07-27 9598T 11
2020-07-27 7380A 9
2020-07-27 2310R 7
2020-07-27 7904G 4
2020-07-27 9900H 5
2020-07-27 7659D 5
2020-07-27 9350P 10
2020-07-27 6072F 11
2020-07-28 8744T 9
2020-07-28 8100O 5
2020-07-28 7106Q 5
2020-07-28 9598T 10
2020-07-28 7380A 8
2020-07-28 2310R 11
2020-07-28 7904G 6
2020-07-28 9900H 8
2020-07-28 7659D 5
2020-07-28 9350P 8
2020-07-28 6072F 10
2020-07-29 8744T 5
2020-07-29 8100O 8
2020-07-29 7106Q 10
2020-07-29 9598T 9
2020-07-29 7380A 5
2020-07-29 2310R 8
2020-07-29 7904G 10
2020-07-29 9900H 8
2020-07-29 7659D 6
2020-07-29 9350P 4
2020-07-29 6072F 9
2020-07-30 8744T 10
2020-07-30 8100O 9
2020-07-30 7106Q 7
2020-07-30 9598T 6
2020-07-30 7380A 8
2020-07-30 2310R 9
2020-07-30 7904G 5
2020-07-30 9900H 6
2020-07-30 7659D 11
2020-07-30 9350P 10
2020-07-30 6072F 7
2020-07-31 8744T 6
2020-07-31 8100O 11
2020-07-31 7106Q 9
2020-07-31 9598T 7
2020-07-31 7380A 10
2020-07-31 2310R 6
2020-07-31 7904G 9
2020-07-31 9900H 5
2020-07-31 7659D 4
2020-07-31 9350P 9
2020-07-31 6072F 10
2020-08-01 8744T 5
2020-08-01 8100O 7
2020-08-01 7106Q 9
2020-08-01 9598T 7
2020-08-01 7380A 9
2020-08-01 2310R 5
2020-08-01 7904G 8
2020-08-01 9900H 4
2020-08-01 7659D 9
2020-08-01 9350P 9
2020-08-01 6072F 11
2020-08-02 8744T 9
2020-08-02 8100O 8
2020-08-02 7106Q 8
2020-08-02 9598T 11
2020-08-02 7380A 7
2020-08-02 2310R 11
2020-08-02 7904G 8
2020-08-02 9900H 8
2020-08-02 7659D 9
2020-08-02 9350P 10
2020-08-02 6072F 11
2020-08-03 8744T 8
2020-08-03 8100O 7
2020-08-03 7106Q 7
2020-08-03 9598T 6
2020-08-03 7380A 11
2020-08-03 2310R 4
2020-08-03 7904G 9
2020-08-03 9900H 5
2020-08-03 7659D 6
2020-08-03 9350P 10
2020-08-03 6072F 9
2020-08-04 8744T 9
2020-08-04 8100O 4
2020-08-04 7106Q 5
2020-08-04 9598T 9
2020-08-04 7380A 10
2020-08-04 2310R 8
2020-08-04 7904G 4
2020-08-04 9900H 6
2020-08-04 7659D 9
2020-08-04 9350P 4
2020-08-04 6072F 6
2020-08-05 8744T 4
2020-08-05 8100O 4
2020-08-05 7106Q 9
2020-08-05 9598T 9
2020-08-05 7380A 5
2020-08-05 2310R 6
2020-08-05 7904G 7
2020-08-05 9900H 4
2020-08-05 7659D 10
2020-08-05 9350P 7
2020-08-05 6072F 8
2020-08-06 8744T 8
2020-08-06 8100O 11
2020-08-06 7106Q 8
2020-08-06 9598T 10
2020-08-06 7380A 6
2020-08-06 2310R 11
2020-08-06 7904G 5
2020-08-06 9900H 8
2020-08-06 7659D 6
2020-08-06 9350P 4
2020-08-06 6072F 10
2020-08-07 8744T 11
2020-08-07 8100O 9
2020-08-07 7106Q 9
2020-08-07 9598T 10
2020-08-07 7380A 5
2020-08-07 2310R 10
2020-08-07 7904G 10
2020-08-07 9900H 7
2020-08-07 7659D 5
2020-08-07 9350P 5
2020-08-07 6072F 7
2020-08-08 8744T 11
2020-08-08 8100O 9
2020-08-08 7106Q 5
2020-08-08 9598T 7
2020-08-08 7380A 7
2020-08-08 2310R 9
2020-08-08 7904G 8
2020-08-08 9900H 10
2020-08-08 7659D 6
2020-08-08 9350P 9
2020-08-08 6072F 11
2020-08-09 8744T 5
2020-08-09 8100O 6
2020-08-09 7106Q 8
2020-08-09 9598T 5
2020-08-09 7380A 10
2020-08-09 2310R 9
2020-08-09 7904G 8
2020-08-09 9900H 7
2020-08-09 7659D 8
2020-08-09 9350P 11
2020-08-09 6072F 9
2020-08-10 8744T 8
2020-08-10 8100O 10
2020-08-10 7106Q 6
2020-08-10 9598T 4
2020-08-10 7380A 7
2020-08-10 2310R 5
2020-08-10 7904G 5
2020-08-10 9900H 5
2020-08-10 7659D 8
2020-08-10 9350P 6
2020-08-10 6072F 7
2020-08-11 8744T 6
2020-08-11 8100O 8
2020-08-11 7106Q 4
2020-08-11 9598T 8
2020-08-11 7380A 4
2020-08-11 2310R 8
2020-08-11 7904G 6
2020-08-11 9900H 6
2020-08-11 7659D 4
2020-08-11 9350P 7
2020-08-11 6072F 9
2020-08-12 8744T 6
2020-08-12 8100O 6
2020-08-12 7106Q 9
2020-08-12 9598T 4
2020-08-12 7380A 8
2020-08-12 2310R 7
2020-08-12 7904G 5
2020-08-12 9900H 11
2020-08-12 7659D 8
2020-08-12 9350P 4
2020-08-12 6072F 11
2020-08-13 8744T 10
2020-08-13 8100O 7
2020-08-13 7106Q 11
2020-08-13 9598T 8
2020-08-13 7380A 4
2020-08-13 2310R 11
2020-08-13 7904G 9
2020-08-13 9900H 7
2020-08-13 7659D 6
2020-08-13 9350P 4
2020-08-13 6072F 4
2020-08-14 8744T 11
2020-08-14 8100O 5
2020-08-14 7106Q 11
2020-08-14 9598T 7
2020-08-14 7380A 5
2020-08-14 2310R 4
2020-08-14 7904G 8
2020-08-14 9900H 8
2020-08-14 7659D 4
2020-08-14 9350P 11
2020-08-14 6072F 6
2020-08-15 8744T 4
2020-08-15 8100O 11
2020-08-15 7106Q 4
2020-08-15 9598T 6
2020-08-15 7380A 6
2020-08-15 2310R 7
2020-08-15 7904G 10
2020-08-15 9900H 5
2020-08-15 7659D 7
2020-08-15 9350P 7
2020-08-15 6072F 6
2020-08-16 8744T 9
2020-08-16 8100O 11
2020-08-16 7106Q 10
2020-08-16 9598T 6
2020-08-16 7380A 11
2020-08-16 2310R 6
2020-08-16 7904G 4
2020-08-16 9900H 4
2020-08-16 7659D 11
2020-08-16 9350P 5
2020-08-16 6072F 8
2020-08-17 8744T 8
2020-08-17 8100O 10
2020-08-17 7106Q 5
2020-08-17 9598T 6
2020-08-17 7380A 8
2020-08-17 2310R 7
2020-08-17 7904G 6
2020-08-17 9900H 7
2020-08-17 7659D 7
2020-08-17 9350P 8
2020-08-17 6072F 10
2020-08-18 8744T 6
2020-08-18 8100O 11
2020-08-18 7106Q 9
2020-08-18 9598T 4
2020-08-18 7380A 8
2020-08-18 2310R 9
2020-08-18 7904G 8
2020-08-18 9900H 6
2020-08-18 7659D 8
2020-08-18 9350P 9
2020-08-18 6072F 6
2020-08-19 8744T 8
2020-08-19 8100O 7
2020-08-19 7106Q 5
2020-08-19 9598T 8
2020-08-19 7380A 10
2020-08-19 2310R 10
2020-08-19 7904G 11
2020-08-19 9900H 10
2020-08-19 7659D 8
2020-08-19 9350P 8
2020-08-19 6072F 6
2020-08-20 8744T 10
2020-08-20 8100O 6
2020-08-20 7106Q 8
2020-08-20 9598T 10
2020-08-20 7380A 9
2020-08-20 2310R 7
2020-08-20 7904G 11
2020-08-20 9900H 8
2020-08-20 7659D 10
2020-08-20 9350P 8
2020-08-20 6072F 8
2020-08-21 8744T 10
2020-08-21 8100O 11
2020-08-21 7106Q 10
2020-08-21 9598T 9
2020-08-21 7380A 5
2020-08-21 2310R 10
2020-08-21 7904G 5
2020-08-21 9900H 6
2020-08-21 7659D 8
2020-08-21 9350P 8
2020-08-21 6072F 11
2020-08-22 8744T 4
2020-08-22 8100O 5
2020-08-22 7106Q 9
2020-08-22 9598T 10
2020-08-22 7380A 4
2020-08-22 2310R 5
2020-08-22 7904G 11
2020-08-22 9900H 5
2020-08-22 7659D 4
2020-08-22 9350P 6
2020-08-22 6072F 9
2020-08-23 8744T 11
2020-08-23 8100O 5
2020-08-23 7106Q 4
2020-08-23 9598T 11
2020-08-23 7380A 5
2020-08-23 2310R 9
2020-08-23 7904G 6
2020-08-23 9900H 6
2020-08-23 7659D 8
2020-08-23 9350P 9
2020-08-23 6072F 4
2020-08-24 8744T 4
2020-08-24 8100O 10
2020-08-24 7106Q 4
2020-08-24 9598T 10
2020-08-24 7380A 6
2020-08-24 2310R 9
2020-08-24 7904G 6
2020-08-24 9900H 5
2020-08-24 7659D 7
2020-08-24 9350P 9
2020-08-24 6072F 7
2020-08-25 8744T 9
2020-08-25 8100O 6
2020-08-25 7106Q 10
2020-08-25 9598T 5
2020-08-25 7380A 5
2020-08-25 2310R 5
2020-08-25 7904G 4
2020-08-25 9900H 9
2020-08-25 7659D 11
2020-08-25 9350P 9
2020-08-25 6072F 8
2020-08-26 8744T 5
2020-08-26 8100O 8
2020-08-26 7106Q 6
2020-08-26 9598T 11
2020-08-26 7380A 6
2020-08-26 2310R 5
2020-08-26 7904G 5
2020-08-26 9900H 7
2020-08-26 7659D 6
2020-08-26 9350P 5
2020-08-26 6072F 10
2020-08-27 8744T 5
2020-08-27 8100O 9
2020-08-27 7106Q 5
2020-08-27 9598T 6
2020-08-27 7380A 5
2020-08-27 2310R 11
2020-08-27 7904G 5
2020-08-27 9900H 10
2020-08-27 7659D 6
2020-08-27 9350P 11
2020-08-27 6072F 5
2020-08-28 8744T 5
2020-08-28 8100O 4
2020-08-28 7106Q 8
2020-08-28 9598T 6
2020-08-28 7380A 5
2020-08-28 2310R 4
2020-08-28 7904G 6
2020-08-28 9900H 7
2020-08-28 7659D 6
2020-08-28 9350P 10
2020-08-28 6072F 6
2020-08-29 8744T 11
2020-08-29 8100O 10
2020-08-29 7106Q 9
2020-08-29 9598T 6
2020-08-29 7380A 6
2020-08-29 2310R 10
2020-08-29 7904G 10
2020-08-29 9900H 8
2020-08-29 7659D 9
2020-08-29 9350P 6
2020-08-29 6072F 6
2020-08-30 8744T 8
2020-08-30 8100O 4
2020-08-30 7106Q 11
2020-08-30 9598T 11
2020-08-30 7380A 9
2020-08-30 2310R 11
2020-08-30 7904G 11
2020-08-30 9900H 6
2020-08-30 7659D 7
2020-08-30 9350P 10
2020-08-30 6072F 5
2020-08-31 8744T 10
2020-08-31 8100O 7
2020-08-31 7106Q 6
2020-08-31 9598T 6
2020-08-31 7380A 5
2020-08-31 2310R 8
2020-08-31 7904G 7
2020-08-31 9900H 6
2020-08-31 7659D 6
2020-08-31 9350P 8
2020-08-31 6072F 6
2020-09-01 8744T 5
2020-09-01 8100O 11
2020-09-01 7106Q 8
2020-09-01 9598T 9
2020-09-01 7380A 10
2020-09-01 2310R 8
2020-09-01 7904G 6
2020-09-01 9900H 4
2020-09-01 7659D 9
2020-09-01 9350P 9
2020-09-01 6072F 9
2020-09-02 8744T 9
2020-09-02 8100O 8
2020-09-02 7106Q 9
2020-09-02 9598T 7
2020-09-02 7380A 5
2020-09-02 2310R 10
2020-09-02 7904G 9
2020-09-02 9900H 9
2020-09-02 7659D 5
2020-09-02 9350P 6
2020-09-02 6072F 4
2020-09-03 8744T 8
2020-09-03 8100O 9
2020-09-03 7106Q 6
2020-09-03 9598T 4
2020-09-03 7380A 9
2020-09-03 2310R 4
2020-09-03 7904G 10
2020-09-03 9900H 6
2020-09-03 7659D 8
2020-09-03 9350P 5
2020-09-03 6072F 11
2020-09-04 8744T 10
2020-09-04 8100O 5
2020-09-04 7106Q 8
2020-09-04 9598T 7
2020-09-04 7380A 10
2020-09-04 2310R 10
2020-09-04 7904G 6
2020-09-04 9900H 4
2020-09-04 7659D 5
2020-09-04 9350P 9
2020-09-04 6072F 10
2020-09-05 8744T 9
2020-09-05 8100O 6
2020-09-05 7106Q 8
2020-09-05 9598T 7
2020-09-05 7380A 9
2020-09-05 2310R 10
2020-09-05 7904G 9
2020-09-05 9900H 4
2020-09-05 7659D 5
2020-09-05 9350P 10
2020-09-05 6072F 8
